epoch,loss
1,3.328038962987753
2,2.27729323047858
3,2.163260662402862
4,2.1250420273878636
5,2.103722471457261
6,2.0891847916138477
7,2.0793541883810973
8,2.0709416690545206
9,2.0640142873311653
10,2.057858955783722
